id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
219,2358093,333030323334303639313032303030,0,802,0,"2018-07-03 09:04:42.000000",0,56.0,41.0,11
220,2358141,333030323334303639313032303030,2,803,0,"2018-07-03 09:05:19.000000",0,56.0,43.0,178
221,2358145,333030323334303639313032303030,2,804,0,"2018-07-03 09:05:25.000000",0,56.0,43.0,184
222,2358159,333030323334303639313032303030,2,805,0,"2018-07-03 09:05:39.000000",0,56.0,43.0,180
223,2358175,333030323334303639313032303030,0,807,0,"2018-07-03 09:05:59.000000",0,56.0,40.0,6
224,2358212,333030323334303639313032303030,0,808,0,"2018-07-03 09:07:25.000000",0,56.0,40.0,5
225,2358214,333030323334303639313032303030,0,809,0,"2018-07-03 09:07:34.000000",0,56.0,40.0,5
226,2358222,333030323334303639313032303030,0,810,0,"2018-07-03 09:07:43.000000",0,56.0,40.0,5
227,2358268,333030323334303639313032303030,2,811,0,"2018-07-03 09:08:30.000000",0,56.0,43.0,178
228,2358302,333030323334303639313032303030,2,812,0,"2018-07-03 09:08:55.000000",0,56.0,43.0,169
229,2358353,333030323334303639313032303030,0,815,0,"2018-07-03 09:10:00.000000",0,56.0,41.0,21
230,2358364,333030323334303639313032303030,0,816,0,"2018-07-03 09:10:12.000000",0,56.0,41.0,24
231,2358370,333030323334303639313032303030,0,817,0,"2018-07-03 09:10:17.000000",0,56.0,40.0,24
232,2358373,333030323334303639313032303030,0,818,0,"2018-07-03 09:10:33.000000",0,56.0,40.0,28
233,2358387,333030323334303639313032303030,0,819,0,"2018-07-03 09:10:43.000000",0,56.0,41.0,33
234,2358391,333030323334303639313032303030,0,820,0,"2018-07-03 09:11:00.000000",0,56.0,41.0,37
235,2358403,333030323334303639313032303030,0,821,0,"2018-07-03 09:11:13.000000",0,56.0,41.0,680
236,2358406,333030323334303639313032303030,2,822,0,"2018-07-03 09:11:27.000000",0,56.0,41.0,680
237,2358423,333030323334303639313032303030,0,823,0,"2018-07-03 09:12:14.000000",0,56.0,41.0,680
238,2358439,333030323334303639313032303030,0,825,0,"2018-07-03 09:12:34.000000",0,56.0,41.0,680
